LibRef,Description,Designator,Quantity,Supplier 1,Supplier Part Number 1

"C_0402_1.0UF_16V","CAP CER 1.0UF 16V X5R 0402","C1, C8, C14","3","Digi-Key","445-4978-1-ND"
"C_1206_10UF_25V","CAP CER 10UF 25V X5R 1206","C2","1","Digi-Key","490-5423-1-ND"
"C_0805_22UF_6.3V","CAP CER 22UF 6.3V X7R 10% 0805","C3, C10","2","Digi-Key","478-3647-1-ND"
"C_0402_18PF_50V","CAP CER 18PF 50V C0G 5% 0402","C4, C5, C60, C61, C62, C63","6","Digi-Key","445-1238-1-ND"
"C_0402_0.1UF_16V","CAP CER .10UF 16V X7R 0402","C6, C41, C44, C59","4","Digi-Key","445-4952-1-ND"
"C_0402_2.2UF","CAP CER 2.2UF 6.3V X5R 0402","C7, C17, C18","3","Digi-Key","445-4999-1-ND"
"C_0402_4.7UF","CAP CER 4.7UF 6.3V X5R 0402","C9, C19, C31, C52","4","Digi-Key","490-5408-1-ND"
"C_0402_33PF","CAP CER 33PF 50V C0G 5% 0402","C11","1","Digi-Key","445-1241-1-ND"
"C_0402_330PF_50V","CAP CER 330PF 50V 5% NP0 0402","C12","1","Digi-Key","587-1217-1-ND"
"C_0402_10PF_50V","CAP CER 10PF 50V NP0 0402","C13","1","Digi-Key","587-1947-1-ND"
"C_0201_1.0UF","CAP CER 1UF 6.3V 20% X5R 0201","C15, C28, C30","3","Digi-Key","445-8008-1-ND"
"C_0201_0.1UF","CAP CER 0.1UF 6.3V 10% X5R 0201","C16, C20, C21, C22, C23, C24, C25, C26, C27, C29, C32, C33, C34, C35, C36, C37, C38, C47, C48, C50, C53, C55, C57","23","Digi-Key","445-1796-1-ND"
"C_0402_47p_50V","CAP CER 47PF 50V 5% C0G 0402","C39, C40","2","Digi-Key","490-1287-1-ND"
"C_0805_10UF_6.3V","CAP CER 10UF 6.3V X7R 10% 0805","C43","1","Digi-Key","478-5322-1-ND"
"C_0201_0.01UF","CAP CER 10000PF 6.3V X5R 0201","C49, C51, C54, C56, C58","5","Digi-Key","445-4704-1-ND"
"FB_0603_120_100MHZ","FERRITE CHIP 120 OHM 2000MA 0603","FB1, FB2","2","Digi-Key","490-1037-1-ND"
"J_A31727TR-ND","CONN MINI USB RCPT RA TYPE B SMD","J1","1","Digi-Key","A31727CT-ND"
"J_HDR1X8_THRHOLE_VERT_FEMALE","CONN HEADER FEMALE 8POS .1" TIN","J2, J5","2","Digi-Key","S7006-ND"
"J_HDR1X10_THRHOLE_VERT_FEMALE","CONN HEADER FEMALE 10POS.1" TIN","J3","1","",""
"J_HDR1X6_THRHOLE_VERT_FEMALE","CONN HEADER FEMALE 6POS .1" TIN","J4","1","Digi-Key","S7004-ND"
"J_HDR1X2_JUMPER","CONN HEADER .100" 12POS TIN PCB","J6, J10","2","Digi-Key","SAM1112-12-ND"
"J_HDR1X3_JUMPER_SELECT","CONN HEADER .100" 12POS TIN PCB","J7, J12","2","Digi-Key","SAM1112-12-ND"
"J_LIPO_BAT_CONNECTOR","CONN HEADER PH SIDE 2POS 2MM SMD","J8","1","Digi-Key","455-1749-1-ND"
"J_HDR2X5_0.05_SMD","CONN HEADER 10POS DL UNSHRD SMD","J9, J14","2","Digi-Key","609-3695-1-ND"
"J_HDR2X4_0.05_RCP_SMD","CONN RECEPT 8POS DUAL SMD","J11","1","Digi-Key","609-3705-1-ND"
"J_SFMH-140-02-L-D","CONN RECEPT 4ROW X 20POS .50" SMT","J13","1","",""
"L_3.30UH_2A","INDUCTOR POWER 3.3UH 2.0A SMD","L1, L2","2","Digi-Key","587-2892-1-ND"
"L_FERRITE_120R_100MHZ","FERRITE CHIP 120 OHM 1.2A 0402","L3","1","Digi-Key","445-2981-1-ND"
"LED_GRN_0402","LED 1X0.5MM 570NM GN WTR CLR SMD","LED1, LED2","2","Digi-Key","754-1101-1-ND"
"R_0402_100.0K","RES 100K OHM 1/16W 1% 0402 SMD","R1","1","Digi-Key","541-100KLCT-ND"
"R_0402_10.0K","RES 10.0K OHM 1/16W 1% 0402 SMD","R2, R12, R13, R14, R15, R18, R19, R23, R24, R28, R29, R30, R31, R32, R33, R34, R35, R40, R41, R42, R43","21","Digi-Key","541-10.0KLDKR-ND"
"R_0402_332.0","RES 332 OHM 1/16W 1% 0402 SMD","R3, R11","2","Digi-Key","541-332LDKR-ND"
"R_0402_3.01K","RES 3.01K OHM 1/16W 1% 0402 SMD","R4","1","Digi-Key","RMCF0402FT3K01CT-ND"
"R_0402_1.0K","RES 1.00K OHM 1/16W 1% 0402 SMD","R5, R20, R22","3","Digi-Key","541-1.00KLDKR-ND"
"R_0402_1.00","RES 1.00 OHM 1/16W 1% 0402 SMD","R6","1","Digi-Key","311-1.00LRDKR-ND"
"R_0402_324.0K","RES 324K OHM 1/10W 1% 0402 SMD","R7","1","Digi-Key","P324KLCT-ND"
"R_0402_121.0K","RES 121K OHM 1/10W 1% 0402 SMD","R8","1","Digi-Key","P121KLCT-ND"
"R_0402_15.0K","RES 15.0K OHM 1/10W 1% 0402 SMD","R9","1","Digi-Key","P15.0KLCT-ND"
"R_0402_105.0K","RES 105K OHM 1/10W 1% 0402 SMD","R10","1","Digi-Key","P105KLCT-ND"
"R_0402_49.9","RES 49.9 OHM 1/16W 1% 0402 SMD","R16","1","Digi-Key","RMCF0402FT49R9DKR-ND"
"R_0402_0.00","RES 1.00 OHM 1/16W 1% 0402 SMD","R17, R25","2","Digi-Key","P0.0JDKR-ND"
"R_1206_1.0M","RES 1.00M OHM 1/4W 1% 1206 SMD","R21","1","Digi-Key","P1.0MECT-ND"
"R_0402_22.0","RES 22.0 OHM 1/16W 1% 0402 SMD","R26, R27","2","Digi-Key","311-22.0LRDKR-ND"
"R_0402_28.7K","RES 28.7K OHM 1/16W 1% 0402 SMD","R39","1","Digi-Key","541-28.7KLCT-ND"
"S_TACTILE_5X5","SWITCH LT 1.5MM HT 160GF SMD","S1, S2, S3","3","Digi-Key","P8046SCT-ND"
"U_LTC3566","IC USB POWER MANAGER 24-QFN","U1","1","Digi-Key","LTC3566EUF#PBF-ND"
"U_MC-ARM-STM32F407","MCU ARM 1024KB FLASH 176UFBGA","U2","1","Digi-Key","497-11168-ND"
"U_W7200","WIZNET 7200 MCU INT TCP/IP STACK","U3","1","",""
"Y_SMD_25.00MHZ_18PF","CRYSTAL 25.000000 MHZ 8PF SMD","Y1","1","Digi-Key","CTX826CT-ND"
"Y_SMD_8.00MHZ_10PF","CRYSTAL 8.000 MHZ 10PF SMD","Y2, Y3","2","Digi-Key","535-9721-1-ND"
